time,open,high,low,close,volume,o_time,date
2020-03-30,6273.0,6535.0,6237.0,6451.0,44721.0,1585526400000,2020-03-30
2020-03-31,6443.0,6491.0,6355.0,6420.0,3383.0,1585612800000,2020-03-31
2020-04-01,6287.0,6655.0,6162.0,6630.0,45169.0,1585699200000,2020-04-01
2020-04-02,6647.0,7266.0,6572.0,6826.0,233400.0,1585785600000,2020-04-02
2020-04-03,6780.0,7028.0,6635.0,6754.0,26401.0,1585872000000,2020-04-03
2020-04-04,6718.0,7000.0,6675.0,6865.0,70528.0,1585958400000,2020-04-04
2020-04-05,6865.0,6892.0,6671.0,6769.0,105533.0,1586044800000,2020-04-05
2020-04-06,6787.0,7356.0,6787.0,7336.0,524134.0,1586131200000,2020-04-06
2020-04-07,7326.0,7452.0,7083.0,7199.0,576724.0,1586217600000,2020-04-07
2020-04-08,7201.0,7417.0,7154.0,7352.0,483790.0,1586304000000,2020-04-08
2020-04-09,7350.0,7368.0,7117.0,7285.0,714505.0,1586390400000,2020-04-09
2020-04-10,7285.0,7288.0,6743.0,6861.0,911212.0,1586476800000,2020-04-10
2020-04-11,6868.0,6944.0,6759.0,6877.0,1200118.0,1586563200000,2020-04-11
2020-04-12,6878.0,7171.0,6781.0,6899.0,2539717.0,1586649600000,2020-04-12
2020-04-13,6689.0,6888.0,6601.0,6839.0,215257.0,1586736000000,2020-04-13
2020-04-14,6838.0,6970.0,6764.0,6864.0,957442.0,1586822400000,2020-04-14
2020-04-15,6858.0,6924.0,6609.0,6625.0,603755.0,1586908800000,2020-04-15
2020-04-16,6620.0,7189.0,6477.0,7100.0,2847767.0,1586995200000,2020-04-16
2020-04-17,7106.0,7143.0,6991.0,7024.0,5046257.0,1587081600000,2020-04-17
2020-04-18,7027.0,7287.0,7002.0,7245.0,1741839.0,1587168000000,2020-04-18
2020-04-19,7249.0,7261.0,7060.0,7120.0,1642948.0,1587254400000,2020-04-19
2020-04-20,7120.0,7213.0,6758.0,6833.0,1853863.0,1587340800000,2020-04-20
2020-04-21,6823.0,6930.0,6766.0,6839.0,1876774.0,1587427200000,2020-04-21
2020-04-22,6839.0,7149.0,6817.0,7122.0,2164239.0,1587513600000,2020-04-22
2020-04-23,7123.0,7801.0,7030.0,7487.0,2002207.0,1587600000000,2020-04-23
2020-04-24,7486.0,7613.0,7402.0,7502.0,3154602.0,1587686400000,2020-04-24
2020-04-25,7504.0,7712.0,7442.0,7536.0,1826428.0,1587772800000,2020-04-25
2020-04-26,7536.0,7699.0,7488.0,7693.0,1896171.0,1587859200000,2020-04-26
2020-04-27,7694.0,7788.0,7490.0,7771.0,1953753.0,1587945600000,2020-04-27
2020-04-28,7772.0,7776.0,7660.0,7747.0,1945546.0,1588032000000,2020-04-28
2020-04-29,7747.0,9000.0,7712.0,8785.0,3401393.0,1588118400000,2020-04-29
2020-04-30,8783.0,9475.0,8408.0,8635.0,5908898.0,1588204800000,2020-04-30
2020-05-01,8628.0,9062.0,8613.0,8829.0,4523276.0,1588291200000,2020-05-01
2020-05-02,8824.0,9016.0,8623.0,8976.0,1514977.0,1588377600000,2020-05-02
2020-05-03,8976.0,9198.0,8669.0,8898.0,3778570.0,1588464000000,2020-05-03
2020-05-04,8902.0,8954.0,8530.0,8870.0,1624280.0,1588550400000,2020-05-04
2020-05-05,8878.0,9112.0,8772.0,9021.0,1722647.0,1588636800000,2020-05-05
2020-05-06,9020.0,9409.0,8916.0,9150.0,2049504.0,1588723200000,2020-05-06
2020-05-07,9146.0,10078.0,9038.0,9994.0,3629818.0,1588809600000,2020-05-07
2020-05-08,9772.0,10014.0,9756.0,9808.0,885130.0,1588896000000,2020-05-08
2020-05-09,9796.0,9916.0,9531.0,9550.0,1043407.0,1588982400000,2020-05-09
2020-05-10,9549.0,9576.0,8063.0,8721.0,2395382.0,1589068800000,2020-05-10
2020-05-11,8721.0,9157.0,8099.0,8555.0,1497233.0,1589155200000,2020-05-11
2020-05-12,8561.0,8979.0,8524.0,8812.0,727057.0,1589241600000,2020-05-12
2020-05-13,8812.0,9391.0,8795.0,9308.0,848686.0,1589328000000,2020-05-13
2020-05-14,9310.0,9978.0,9211.0,9796.0,1558493.0,1589414400000,2020-05-14
2020-05-15,9790.0,9842.0,9109.0,9317.0,1039800.0,1589500800000,2020-05-15
2020-05-16,9322.0,9589.0,9215.0,9387.0,510020.0,1589587200000,2020-05-16
2020-05-17,9363.0,9880.0,9334.0,9675.0,697616.0,1589673600000,2020-05-17
2020-05-18,9682.0,9950.0,9450.0,9731.0,868967.0,1589760000000,2020-05-18
2020-05-19,9734.0,9900.0,9469.0,9776.0,679615.0,1589846400000,2020-05-19
2020-05-20,9779.0,9835.0,9273.0,9516.0,682102.0,1589932800000,2020-05-20
2020-05-21,9515.0,9571.0,8818.0,9068.0,1044236.0,1590019200000,2020-05-21
2020-05-22,9064.0,9268.0,8888.0,9170.0,815555.0,1590105600000,2020-05-22
2020-05-23,9170.0,9307.0,9085.0,9179.0,791378.0,1590192000000,2020-05-23
2020-05-24,9178.0,9292.0,8628.0,8714.0,1150919.0,1590278400000,2020-05-24
